City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,247.44,76,20,1.54,CA,1676764896
1,bilibino,68.0546,166.4372,251.05,95,100,0.42,RU,1676765431
2,bethel,41.3712,-73.414,277.35,49,0,2.06,US,1676765194
3,punta arenas,-53.15,-70.9167,284.21,58,75,7.72,CL,1676765142
4,malanje,-9.5402,16.341,291.61,98,100,1.48,AO,1676765438
5,port alfred,-33.5906,26.891,293.81,96,76,1.33,ZA,1676765439
6,katsuura,35.1333,140.3,290.26,77,88,16.38,JP,1676765365
7,ushuaia,-54.8,-68.3,283.96,54,40,1.54,AR,1676765440
8,plainview,40.7765,-73.4673,278.41,52,0,4.12,US,1676765441
9,bambanglipuro,-7.95,110.2833,298.37,87,100,2.5,ID,1676765441
10,suicheng,33.8963,117.9331,276.58,58,43,3.66,CN,1676765442
11,mataura,-46.1927,168.8643,295.49,44,100,4.71,NZ,1676765443
12,seoul,37.5683,126.9778,276.81,90,75,1.54,KR,1676765001
13,khatanga,71.9667,102.5,263.25,93,100,6.91,RU,1676765444
14,batagay-alyta,67.8006,130.4114,236.49,98,58,2.23,RU,1676765444
15,kapaa,22.0752,-159.319,297.14,91,100,6.17,US,1676765444
16,vila franca do campo,37.7167,-25.4333,287.38,79,75,3.13,PT,1676765445
17,bluff,-46.6,168.3333,291.98,68,100,8.46,NZ,1676765446
18,hithadhoo,-0.6,73.0833,300.25,76,80,3.46,MV,1676765446
19,tasiilaq,65.6145,-37.6368,268.24,91,100,16.53,GL,1676765447
20,auki,-8.7676,160.7034,302.94,65,96,0.74,SB,1676765449
21,salme,28.0369,85.0942,283.31,54,0,2.55,NP,1676765450
22,ponta delgada,37.7333,-25.6667,287.55,72,75,3.6,PT,1676765239
23,albany,42.6001,-73.9662,274.71,53,53,0.89,US,1676765450
24,flinders,-34.5833,150.8552,299.36,68,51,1.79,AU,1676765451
25,busselton,-33.65,115.3333,292.56,67,53,5.75,AU,1676765451
26,new norfolk,-42.7826,147.0587,295.21,46,100,2.24,AU,1676765452
27,manitouwadge,49.1215,-85.8403,261.69,96,93,1.82,CA,1676765453
28,egvekinot,66.3167,-179.1667,245.66,85,100,4.15,RU,1676765453
29,puerto ayora,-0.7393,-90.3518,300.68,92,52,3.13,EC,1676765316
30,gornyy,55.1153,83.9059,263.45,90,93,7.15,RU,1676765453
31,tirumullaivasal,11.2333,79.8333,296.71,81,5,2.75,IN,1676765454
32,tongliao,43.6125,122.2653,266.08,43,18,5.5,CN,1676765454
33,dikson,73.5069,80.5464,256.23,98,100,8.26,RU,1676765455
34,san rafael,-34.6177,-68.3301,293.75,19,0,5.89,AR,1676765241
35,juruti,-2.1522,-56.0922,297.18,92,97,0.84,BR,1676765455
36,westport,41.1415,-73.3579,278.57,58,0,5.14,US,1676765169
37,coihaique,-45.5752,-72.0662,288.12,47,0,3.09,CL,1676765270
38,upington,-28.4478,21.2561,295.56,24,0,3.7,ZA,1676765456
39,san cristobal,7.7669,-72.225,294.25,86,22,1.14,VE,1676765456
